#x         X-corr 
1.50015025     9.012581825
1.50015045     8.649017334
1.50015065     8.878417969
1.50015085     8.384186745
1.50015105     8.146759033
1.50015125     8.75359726
1.50015145     8.877403259
1.50015165     9.79544735
1.50015185     9.068026543
1.50015205     7.65640974
1.50015225     5.575359821
1.50015245     3.402081013
1.50015265     3.044684649
1.50015285     3.303512096
1.50015305     3.765734196
1.50015325     3.554567337
1.50015345     3.896315336
1.50015365     3.454511642
1.50015385     3.586920261
1.50015405     2.362859249
1.50015425     0.9459101558
1.50015445     1.153960586
1.50015465     4.295491219
1.50015485     6.80091238
1.50015505     9.76668644
1.50015525     11.81692028
1.50015545     13.12787724
1.50015565     15.07762623
1.50015585     16.19271088
1.50015605     18.505476
1.50015625     20.40758133
1.50015645     22.37563896
1.50015665     24.64108086
1.50015685     26.7552681
1.50015705     28.7348423
1.50015725     27.90550041
1.50015745     25.29718399
1.50015765     19.953619
1.50015785     14.42956638
1.50015805     9.92131424
1.50015825     6.163170338
1.50015845     3.789502621
1.50015865     3.680315018
1.50015885     6.040044785
1.50015905     8.065861702
1.50015925     8.749996185
1.50015945     7.052649498
1.50015965     4.796154976
1.50015985     1.022866249
1.50016005     2.123085737
1.50016025     4.368019104
1.50016045     5.589206696
1.50016065     4.319385052
1.50016085     2.582622528
1.50016105     0.7907503843
1.50016125     4.307611942
1.50016145     6.710783482
1.50016165     9.037941933
1.50016185     9.370492935
1.50016205     9.230090141
1.50016225     8.373182297
1.50016245     7.301802635
1.50016265     7.277911186
1.50016285     7.457139492
1.50016305     9.102296829
1.50016325     9.721197128
1.50016345     10.49989605
1.50016365     9.824655533
1.50016385     8.819704056
1.50016405     8.00017643
1.50016425     6.652057171
1.50016445     5.681502819
1.50016465     3.353579283
1.50016485     1.610184193
1.50016505     3.403406382
1.50016525     5.429279327
1.50016545     6.577043056
1.50016565     7.627160549
1.50016585     7.479018211
1.50016605     8.279168129
1.50016625     8.280422211
1.50016645     8.765666008
1.50016665     8.945611
1.50016685     9.226050377
1.50016705     9.573535919
1.50016725     9.190668106
1.50016745     9.386788368
1.50016765     8.750074387
1.50016785     8.950458527
1.50016805     8.44170475
1.50016825     8.390386581
1.50016845     8.284018517
1.50016865     8.060091019
1.50016885     8.496523857
1.50016905     8.207154274
1.50016925     9.116177559
1.50016945     9.559789658
1.50016965     10.16373158
1.50016985     10.37612152
1.50017005     9.326075554
1.50017025     8.608295441
1.50017045     7.037566662
1.50017065     6.110969067
1.50017085     5.52835083
1.50017105     4.53538847
1.50017125     4.901415348
1.50017145     6.115857124
1.50017165     7.051421642
1.50017185     8.217693329
1.50017205     8.040818214
1.50017225     6.968207836
1.50017245     6.341278553
1.50017265     5.02703476
1.50017285     4.754966259
1.50017305     4.086861134
1.50017325     3.582296371
1.50017345     3.054981947
1.50017365     2.101502419
1.50017385     2.561754704
1.50017405     3.278138399
1.50017425     5.359423161
1.50017445     6.394527912
1.50017465     7.362985611
1.50017485     7.468085289
1.50017505     6.690324783
1.50017525     6.80910635
1.50017545     6.301842213
1.50017565     6.967790604
1.50017585     7.391824722
1.50017605     7.478729248
1.50017625     8.149880409
1.50017645     8.05142498
1.50017665     8.810552597
1.50017685     9.432172775
1.50017705     9.525551796
1.50017725     9.503038406
1.50017745     7.980575085
1.50017765     7.253600121
1.50017785     6.222328186
1.50017805     6.504770756
1.50017825     6.670076847
1.50017845     6.996199608
1.50017865     6.901419163
1.50017885     5.649978638
1.50017905     4.725737572
1.50017925     2.917442083
1.50017945     2.162555456
1.50017965     1.830302358
1.50017985     1.491184592
1.50018005     2.017837524
1.50018025     1.808467269
1.50018045     1.064947367
1.50018065     1.924973965
1.50018085     3.809299469
1.50018105     5.042715549
1.50018125     6.548199654
1.50018145     7.039687634
1.50018165     6.787987232
1.50018185     6.999301434
1.50018205     6.681232452
1.50018225     7.548685074
1.50018245     8.157648087
1.50018265     8.331557274
1.50018285     8.750411034
1.50018305     7.918103218
1.50018325     7.866988182
1.50018345     7.960105896
1.50018365     8.153862
1.50018385     8.940196991
1.50018405     8.472245216
1.50018425     8.246326447
1.50018445     7.17939949
1.50018465     6.550508499
1.50018485     6.461856842
1.50018505     6.568743229
1.50018525     7.064243317
1.50018545     6.173500538
1.50018565     5.645307064
1.50018585     3.630649567
1.50018605     2.604931116
1.50018625     1.925234556
1.50018645     3.364084482
1.50018665     4.343482971
1.50018685     5.528871536
1.50018705     6.430909157
1.50018725     6.224199772
1.50018745     6.136146545
1.50018765     5.026022434
1.50018785     4.292625904
1.50018805     3.081565857
1.50018825     1.26949048
1.50018845     1.010807157
1.50018865     4.608788013
1.50018885     7.200510502
1.50018905     9.514984131
1.50018925     10.30148602
1.50018945     9.545246124
1.50018965     8.816508293
1.50018985     7.358101368
1.50019005     6.916316032
1.50019025     6.436844826
1.50019045     6.083566666
1.50019065     6.932961941
1.50019085     7.2313447
1.50019105     6.68214941
1.50019125     5.948094845
1.50019145     4.028089046
1.50019165     2.571911335
1.50019185     2.181189299
1.50019205     2.055161953
1.50019225     2.983930588
1.50019245     4.14828825
1.50019265     4.428168774
1.50019285     4.783757687
1.50019305     3.512094975
1.50019325     2.072280407
1.50019345     1.190138459
1.50019365     3.609448433
1.50019385     4.997040749
1.50019405     6.381707668
1.50019425     6.390416622
1.50019445     5.450587273
1.50019465     4.655771255
1.50019485     4.010586739
1.50019505     5.188753605
1.50019525     5.816962242
1.50019545     6.646157742
1.50019565     5.468403816
1.50019585     4.530669689
1.50019605     2.333510637
1.50019625     0.2473518848
1.50019645     3.922475815
1.50019665     9.559242249
1.50019685     15.4515543
1.50019705     21.14238739
1.50019725     23.67674446
1.50019745     24.31521034
1.50019765     22.56280327
1.50019785     20.46366501
1.50019805     18.79024315
1.50019825     16.10815239
1.50019845     12.96518517
1.50019865     7.821531296
1.50019885     4.259195805
1.50019905     5.175454617
1.50019925     8.875844002
1.50019945     10.26966667
1.50019965     10.69822788
1.50019985     9.402402878
1.50020005     7.150629044
1.50020025     5.504984856
1.50020045     3.348424673
1.50020065     2.656782866
1.50020085     1.547810316
1.50020105     1.01699698
1.50020125     1.467071414
1.50020145     1.714209318
1.50020165     2.731070518
1.50020185     3.333535194
1.50020205     3.801852942
1.50020225     4.848461151
1.50020245     5.180187702
1.50020265     6.315427303
1.50020285     6.119352341
1.50020305     6.156358719
1.50020325     5.997701645
1.50020345     5.631156921
1.50020365     6.307857513
1.50020385     6.24420929
1.50020405     6.730501652
1.50020425     7.1626091
1.50020445     6.641489506
1.50020465     6.432993889
1.50020485     4.96811676
1.50020505     4.303189278
1.50020525     4.00737524
1.50020545     4.768140316
1.50020565     5.205825329
1.50020585     5.491415024
1.50020605     5.477503777
1.50020625     4.849604607
1.50020645     4.659934521
1.50020665     3.435349941
1.50020685     2.964571476
1.50020705     1.983996391
1.50020725     2.940749407
1.50020745     3.534300327
1.50020765     4.550719261
1.50020785     3.992659807
1.50020805     3.321572542
1.50020825     2.334093094
1.50020845     1.049644113
1.50020865     1.103746891
1.50020885     1.280526519
1.50020905     0.5333952308
1.50020925     1.013702035
1.50020945     1.727534056
1.50020965     3.366050959
1.50020985     3.900985718
1.50021005     4.734460354
1.50021025     4.271058559
1.50021045     3.364197016
1.50021065     2.371378899
1.50021085     1.033005357
1.50021105     0.8533595204
1.50021125     2.395757198
1.50021145     3.809570312
1.50021165     5.824140072
1.50021185     7.240927219
1.50021205     7.874825001
1.50021225     8.647563934
1.50021245     8.499288559
1.50021265     9.193335533
1.50021285     8.836994171
1.50021305     8.404892921
1.50021325     7.57694912
1.50021345     6.383750439
1.50021365     6.042891026
1.50021385     5.361355782
1.50021405     6.042376995
1.50021425     6.053123951
1.50021445     6.621618271
1.50021465     6.424520969
1.50021485     6.119700432
1.50021505     6.361335754
1.50021525     5.954707146
1.50021545     6.257252216
1.50021565     5.54727602
1.50021585     4.551896095
1.50021605     4.10268259
1.50021625     3.264786959
1.50021645     3.104671717
1.50021665     3.4508214
1.50021685     3.033941746
1.50021705     3.13995862
1.50021725     2.854055882
1.50021745     2.820822001
1.50021765     3.319204092
1.50021785     3.464238882
1.50021805     4.549283504
1.50021825     4.655640125
1.50021845     5.375757694
1.50021865     5.399588585
1.50021885     5.679456711
1.50021905     6.056593895
1.50021925     5.494356155
1.50021945     5.369974613
1.50021965     4.415230751
1.50021985     4.456326008
1.50022005     4.937558174
1.50022025     5.217485428
1.50022045     6.242930889
1.50022065     6.037209034
1.50022085     5.601032734
1.50022105     5.002987385
1.50022125     3.914232969
1.50022145     3.94276762
1.50022165     3.294961452
1.50022185     3.284090042
1.50022205     3.445311308
1.50022225     3.117837429
1.50022245     3.614142656
1.50022265     3.575590372
1.50022285     3.839645863
1.50022305     4.017752171
1.50022325     3.182964087
